tipo,descrição,data,hora,prioridade,quem,feito
compromisso,Reunião com o posto de Ribeirão Preto sobre o contrato de diesel,04/09/2026,08:30,,Eu,não
compromisso,Ligar para a distribuidora de Paulínia e confirmar o carregamento,04/09/2026,10:00,,Eu,não
compromisso,Vistoria do caminhão BRA2E19 na oficina de Sertãozinho,04/09/2026,11:30,,Sócio,não
compromisso,Almoço com o gerente do posto de Araraquara,04/09/2026,12:30,,Eu,não
compromisso,Visita do fiscal da ANP na base,04/09/2026,14:00,,Ambos,não
compromisso,Ligar para o motorista Everaldo sobre a rota de Uberaba,04/09/2026,15:30,,Eu,não
compromisso,Fechamento do caixa da semana com o contador,04/09/2026,17:00,,Sócio,não
tarefa,Conferir a nota fiscal da carga de 30 mil litros para Franca,04/09/2026,,faço hoje,Eu,não
tarefa,Pagar o pedágio pendente da placa RTC4F87,04/09/2026,,faço hoje,Eu,não
tarefa,Mandar a escala dos motoristas da semana que vem no grupo,04/09/2026,,faço hoje,Eu,não
tarefa,Responder o orçamento do posto de Poços de Caldas,04/09/2026,,faço hoje,Eu,sim
tarefa,Cotar pneu novo para o caminhão QXP7D21,04/09/2026,,pode esperar,Sócio,não
tarefa,Renovar o seguro do tanque placa GHT3B55,04/09/2026,,pode esperar,Sócio,não
tarefa,Organizar os comprovantes de abastecimento de agosto,04/09/2026,,pode esperar,Eu,não
tarefa,Marcar a troca de óleo do BRA2E19,03/09/2026,,faço hoje,Eu,não
tarefa,Ligar para o posto de Barretos sobre a entrega atrasada,03/09/2026,,faço hoje,Eu,não
tarefa,Mandar o boleto do frete de Uberlândia,03/09/2026,,faço hoje,Sócio,sim
compromisso,Reunião com o banco em São Carlos,03/09/2026,09:00,,Ambos,sim
compromisso,Entrega de 20 mil litros de diesel no posto de Bebedouro,03/09/2026,14:00,,Sócio,sim
compromisso,Carregamento na base de Paulínia com o caminhão RTC4F87,05/09/2026,06:00,,Eu,não
tarefa,Separar os documentos do motorista Josué para a viagem de Araxá,05/09/2026,,faço hoje,Eu,não
compromisso,Visita ao posto novo em Passos,08/09/2026,09:00,,Ambos,não
compromisso,Reunião mensal com os motoristas,08/09/2026,16:00,,Ambos,não
tarefa,Fechar a planilha de quilometragem de agosto,08/09/2026,,faço hoje,Eu,não
compromisso,Entrega de 15 mil litros de gasolina em Limeira,09/09/2026,07:30,,Sócio,não
compromisso,Reunião com o contador sobre os impostos,09/09/2026,14:00,,Eu,não
tarefa,Pedir orçamento da manutenção da bomba em Piracicaba,09/09/2026,,pode esperar,Sócio,não
compromisso,Renovação da licença ambiental em Uberaba,10/09/2026,10:00,,Eu,não
tarefa,Conferir o vencimento do curso MOPP dos motoristas,10/09/2026,,faço hoje,Eu,não
compromisso,Entrega de 25 mil litros de etanol em Franca,11/09/2026,08:00,,Sócio,não
tarefa,Atualizar a tabela de frete para os clientes de Minas,11/09/2026,,pode esperar,Ambos,não
compromisso,Almoço com o fornecedor de peças em Ribeirão Preto,11/09/2026,12:30,,Eu,não
